Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
BOS,PHI,2022-10-18,BOS,W,0.561,0.343,0.786,36.0,24.0,8.0,3.0,11.0,9,0.5,0.382,0.857,31.0,16.0,8.0,3.0,14.0,-9
GSW,LAL,2022-10-18,GSW,W,0.455,0.356,0.739,48.0,31.0,11.0,4.0,18.0,14,0.426,0.25,0.76,48.0,23.0,12.0,4.0,22.0,-14
SAS,CHA,2022-10-19,CHA,L,0.404,0.206,0.714,44.0,22.0,8.0,8.0,15.0,-27,0.511,0.448,0.87,51.0,26.0,7.0,10.0,15.0,27
SAC,POR,2022-10-19,POR,L,0.459,0.386,0.684,41.0,27.0,8.0,5.0,16.0,-7,0.443,0.393,0.788,44.0,20.0,11.0,2.0,11.0,7
MIN,OKC,2022-10-19,MIN,W,0.415,0.263,0.818,55.0,25.0,6.0,5.0,14.0,7,0.384,0.311,0.818,57.0,22.0,6.0,6.0,14.0,-7
ATL,HOU,2022-10-19,ATL,W,0.5,0.28,0.833,38.0,30.0,12.0,5.0,9.0,10,0.429,0.257,0.933,54.0,25.0,4.0,3.0,16.0,-10
MIA,CHI,2022-10-19,CHI,L,0.463,0.429,0.786,46.0,21.0,6.0,2.0,19.0,-8,0.441,0.361,0.75,46.0,23.0,12.0,6.0,15.0,8
MEM,NYK,2022-10-19,MEM,W,0.389,0.34,0.609,64.0,27.0,6.0,7.0,14.0,3,0.404,0.243,0.833,54.0,28.0,7.0,5.0,12.0,-3
DET,ORL,2022-10-19,DET,W,0.426,0.368,0.792,41.0,31.0,11.0,4.0,13.0,4,0.488,0.367,0.737,48.0,21.0,5.0,5.0,18.0,-4
PHX,DAL,2022-10-19,PHX,W,0.471,0.364,0.864,40.0,25.0,4.0,5.0,12.0,2,0.467,0.4,0.618,40.0,17.0,6.0,4.0,12.0,-2
IND,WAS,2022-10-19,WAS,L,0.402,0.357,0.667,42.0,21.0,7.0,5.0,15.0,-7,0.457,0.355,0.792,53.0,21.0,5.0,10.0,17.0,7
UTA,DEN,2022-10-19,UTA,W,0.506,0.421,0.742,43.0,27.0,10.0,1.0,20.0,21,0.482,0.227,0.944,35.0,21.0,10.0,3.0,21.0,-21
TOR,CLE,2022-10-19,TOR,W,0.419,0.433,0.719,41.0,19.0,15.0,4.0,13.0,3,0.494,0.357,0.826,38.0,25.0,5.0,5.0,17.0,-3
BKN,NOP,2022-10-19,NOP,L,0.449,0.303,0.75,39.0,22.0,10.0,10.0,16.0,-22,0.49,0.462,0.72,61.0,31.0,9.0,4.0,13.0,22
PHI,MIL,2022-10-20,MIL,L,0.434,0.208,0.846,44.0,17.0,6.0,5.0,10.0,-2,0.405,0.31,0.643,48.0,24.0,4.0,6.0,14.0,2
LAL,LAC,2022-10-20,LAC,L,0.351,0.2,0.846,38.0,23.0,13.0,5.0,10.0,-6,0.463,0.31,0.645,58.0,18.0,7.0,7.0,23.0,6
WAS,CHI,2022-10-21,WAS,W,0.513,0.385,0.909,39.0,26.0,8.0,8.0,17.0,2,0.418,0.259,0.818,38.0,19.0,8.0,3.0,13.0,-2
