Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,0.0,0.0,0.0,0.0,0.561,0.5,0.343,0.382,0.786,0.857,36.0,31.0,24.0,16.0,8.0,8.0,3.0,3.0,11.0,14.0,9.0,-9.0
W,0.0,0.0,0.0,0.0,0.455,0.426,0.356,0.25,0.739,0.76,48.0,48.0,31.0,23.0,11.0,12.0,4.0,4.0,18.0,22.0,14.0,-14.0
L,0.0,0.0,0.0,0.0,0.404,0.511,0.206,0.448,0.714,0.87,44.0,51.0,22.0,26.0,8.0,7.0,8.0,10.0,15.0,15.0,-27.0,27.0
L,0.0,0.0,0.0,0.0,0.459,0.443,0.386,0.393,0.684,0.788,41.0,44.0,27.0,20.0,8.0,11.0,5.0,2.0,16.0,11.0,-7.0,7.0
W,0.0,0.0,0.0,0.0,0.415,0.384,0.263,0.311,0.818,0.818,55.0,57.0,25.0,22.0,6.0,6.0,5.0,6.0,14.0,14.0,7.0,-7.0
W,0.0,0.0,0.0,0.0,0.5,0.429,0.28,0.257,0.833,0.933,38.0,54.0,30.0,25.0,12.0,4.0,5.0,3.0,9.0,16.0,10.0,-10.0
L,0.0,0.0,0.0,0.0,0.463,0.441,0.429,0.361,0.786,0.75,46.0,46.0,21.0,23.0,6.0,12.0,2.0,6.0,19.0,15.0,-8.0,8.0
W,0.0,0.0,0.0,0.0,0.389,0.404,0.34,0.243,0.609,0.833,64.0,54.0,27.0,28.0,6.0,7.0,7.0,5.0,14.0,12.0,3.0,-3.0
W,0.0,0.0,0.0,0.0,0.426,0.488,0.368,0.367,0.792,0.737,41.0,48.0,31.0,21.0,11.0,5.0,4.0,5.0,13.0,18.0,4.0,-4.0
W,0.0,0.0,0.0,0.0,0.471,0.467,0.364,0.4,0.864,0.618,40.0,40.0,25.0,17.0,4.0,6.0,5.0,4.0,12.0,12.0,2.0,-2.0
L,0.0,0.0,0.0,0.0,0.402,0.457,0.357,0.355,0.667,0.792,42.0,53.0,21.0,21.0,7.0,5.0,5.0,10.0,15.0,17.0,-7.0,7.0
W,0.0,0.0,0.0,0.0,0.506,0.482,0.421,0.227,0.742,0.944,43.0,35.0,27.0,21.0,10.0,10.0,1.0,3.0,20.0,21.0,21.0,-21.0
W,0.0,0.0,0.0,0.0,0.419,0.494,0.433,0.357,0.719,0.826,41.0,38.0,19.0,25.0,15.0,5.0,4.0,5.0,13.0,17.0,3.0,-3.0
L,0.0,0.0,0.0,0.0,0.449,0.49,0.303,0.462,0.75,0.72,39.0,61.0,22.0,31.0,10.0,9.0,10.0,4.0,16.0,13.0,-22.0,22.0
L,0.0,0.0,1.0,0.0,0.434,0.405,0.208,0.31,0.846,0.643,44.0,48.0,17.0,24.0,6.0,4.0,5.0,6.0,10.0,14.0,-2.0,2.0
L,0.0,0.0,1.0,0.0,0.351,0.463,0.2,0.31,0.846,0.645,38.0,58.0,23.0,18.0,13.0,7.0,5.0,7.0,10.0,23.0,-6.0,6.0
W,0.0,0.0,1.0,1.0,0.513,0.418,0.385,0.259,0.909,0.818,39.0,38.0,26.0,19.0,8.0,8.0,8.0,3.0,17.0,13.0,2.0,-2.0
L,0.0,1.0,1.0,1.0,0.457,0.519,0.308,0.424,0.8,1.0,36.0,43.0,23.0,17.0,8.0,4.0,3.0,11.0,10.0,20.0,-7.0,7.0
L,0.0,0.0,1.0,1.0,0.454,0.472,0.382,0.364,0.786,0.865,37.0,53.0,30.0,23.0,9.0,9.0,4.0,7.0,14.0,16.0,-12.0,12.0
W,0.0,1.0,1.0,1.0,0.526,0.433,0.421,0.25,0.636,0.594,50.0,49.0,29.0,26.0,4.0,6.0,6.0,2.0,12.0,15.0,24.0,-24.0
W,1.0,0.0,1.0,1.0,0.449,0.413,0.419,0.235,0.938,0.8,46.0,44.0,26.0,16.0,10.0,9.0,2.0,7.0,17.0,19.0,10.0,-10.0
L,1.0,1.0,1.0,1.0,0.458,0.441,0.333,0.4,0.739,0.667,60.0,54.0,20.0,39.0,5.0,11.0,7.0,8.0,20.0,13.0,-6.0,6.0
W,0.0,1.0,1.0,1.0,0.439,0.457,0.345,0.37,0.861,0.714,48.0,41.0,14.0,31.0,8.0,14.0,5.0,1.0,21.0,17.0,2.0,-2.0
W,0.0,1.0,1.0,1.0,0.475,0.488,0.371,0.393,0.69,0.667,44.0,41.0,26.0,25.0,3.0,9.0,13.0,4.0,13.0,15.0,4.0,-4.0
L,0.0,1.0,1.0,1.0,0.473,0.459,0.457,0.452,0.6,0.69,45.0,50.0,18.0,26.0,4.0,8.0,6.0,10.0,14.0,12.0,-7.0,7.0
L,0.0,0.0,1.0,1.0,0.49,0.543,0.314,0.548,0.955,0.727,42.0,37.0,32.0,34.0,8.0,9.0,6.0,4.0,16.0,17.0,-3.0,3.0
L,1.0,0.0,1.0,1.0,0.477,0.535,0.341,0.441,0.889,0.84,35.0,41.0,34.0,30.0,10.0,10.0,3.0,2.0,19.0,20.0,-5.0,5.0
W,0.0,1.0,1.0,1.0,0.5,0.43,0.436,0.273,0.833,0.792,52.0,29.0,23.0,20.0,7.0,4.0,7.0,8.0,15.0,18.0,41.0,-41.0
L,0.0,0.0,1.0,1.0,0.405,0.565,0.241,0.593,0.84,0.889,35.0,48.0,19.0,32.0,12.0,4.0,7.0,5.0,10.0,18.0,-32.0,32.0
L,0.0,0.0,0.0,1.0,0.44,0.483,0.323,0.421,0.75,0.8,40.0,43.0,26.0,27.0,6.0,5.0,5.0,7.0,12.0,14.0,-9.0,9.0
